episode_id,episode_type,policy,offset,symbol,first_signal_date,source_first_signal_date,offset_signal_date,entry_date,exit_date,entry_price,exit_price,holding_days,truncated,gross_return_pct,net_return_x1_pct,net_return_x2_pct,net_return_x3_pct
EPISODE_GAP_5-LRN-00002,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,LRN,2024-05-20,2024-05-20,2024-05-20,2024-05-21,2024-06-05,69.83,69.54,10,False,-0.41529428612343544,-0.5152942861234354,-0.6152942861234354,-0.7152942861234355
EPISODE_GAP_5-CAT-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,CAT,2024-05-21,2024-05-21,2024-05-21,2024-05-22,2024-06-06,348.99,319.58,10,False,-8.42717556376974,-8.52717556376974,-8.62717556376974,-8.727175563769741
EPISODE_GAP_5-KLAC-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,KLAC,2024-05-21,2024-05-21,2024-05-21,2024-05-22,2024-06-06,75.95,76.71,10,False,1.0006583278472592,0.9006583278472591,0.8006583278472592,0.7006583278472591
EPISODE_GAP_5-KO-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,KO,2024-05-21,2024-05-21,2024-05-21,2024-05-22,2024-06-06,58.79,60.14,10,False,2.2963088960707534,2.1963088960707533,2.096308896070753,1.9963088960707536
EPISODE_GAP_5-LLY-00002,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,LLY,2024-05-21,2024-05-21,2024-05-21,2024-05-22,2024-06-06,789.97,825.76,10,False,4.5305517931060635,4.430551793106064,4.330551793106063,4.230551793106063
EPISODE_GAP_5-MSFT-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,MSFT,2024-05-21,2024-05-21,2024-05-21,2024-05-22,2024-06-06,423.44,417.95,10,False,-1.296523710561126,-1.3965237105611261,-1.496523710561126,-1.5965237105611259
EPISODE_GAP_5-NOW-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,NOW,2024-05-21,2024-05-21,2024-05-21,2024-05-22,2024-06-06,156.0,140.63,10,False,-9.85256410256411,-9.95256410256411,-10.05256410256411,-10.15256410256411
EPISODE_GAP_5-AMZN-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,AMZN,2024-05-22,2024-05-22,2024-05-22,2024-05-23,2024-06-07,183.69,184.3,10,False,0.33208122380097294,0.23208122380097293,0.13208122380097292,0.03208122380097293
EPISODE_GAP_5-APD-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,APD,2024-05-22,2024-05-22,2024-05-22,2024-05-23,2024-06-07,249.66,263.85,10,False,5.683729872626775,5.583729872626774,5.483729872626775,5.383729872626775
EPISODE_GAP_5-AVGO-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,AVGO,2024-05-22,2024-05-22,2024-05-22,2024-05-23,2024-06-07,139.76,137.63,10,False,-1.5240412135088643,-1.6240412135088644,-1.7240412135088645,-1.8240412135088642
EPISODE_GAP_5-CRDO-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,CRDO,2024-05-22,2024-05-22,2024-05-22,2024-05-23,2024-06-07,20.01,27.15,10,False,35.68215892053972,35.58215892053972,35.48215892053972,35.382158920539716
EPISODE_GAP_5-HON-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,HON,2024-05-22,2024-05-22,2024-05-22,2024-05-23,2024-06-07,191.17,197.63,10,False,3.379191295705408,3.279191295705408,3.179191295705408,3.0791912957054084
